exp_id,init,track,role,label_frac,seed,precision,detector_sha256,git_sha,dev_f1,dev_threshold,test_f1,epochs_run,train_scene_count,train_vessel_count,train_dark_vessel_count,train_near_shore_vessel_count,monotonicity_ok
sarmae-f50-s0,sarmae_b,vit,sar,0.5,0,32-true,c42ae65bf9045cc93f0d73ae1437b2f6a1300670cb49d8e93f83a39d58a62a12,1a82d508fbeb9fdf6868a9637611e9018952fb43,0.9161168708765316,0.85546875,0.8672064777327934,50,56,3792,0,15,False
sarmae-f100-s0,sarmae_b,vit,sar,1.0,0,32-true,c42ae65bf9045cc93f0d73ae1437b2f6a1300670cb49d8e93f83a39d58a62a12,1a82d508fbeb9fdf6868a9637611e9018952fb43,0.928919182083739,0.90380859375,0.8748419721871049,45,111,7678,0,27,False
vitin1k-f10-s0,vit_imagenet,vit,imagenet,0.1,0,32-true,c42ae65bf9045cc93f0d73ae1437b2f6a1300670cb49d8e93f83a39d58a62a12,1a82d508fbeb9fdf6868a9637611e9018952fb43,0.8760806916426512,0.90625,0.8103372755146737,50,12,790,0,4,True
vitin1k-f25-s0,vit_imagenet,vit,imagenet,0.25,0,32-true,c42ae65bf9045cc93f0d73ae1437b2f6a1300670cb49d8e93f83a39d58a62a12,1a82d508fbeb9fdf6868a9637611e9018952fb43,0.8715953307392996,0.92919921875,0.8050770625566636,50,28,1685,0,8,True
vitin1k-f50-s0,vit_imagenet,vit,imagenet,0.5,0,32-true,c42ae65bf9045cc93f0d73ae1437b2f6a1300670cb49d8e93f83a39d58a62a12,1a82d508fbeb9fdf6868a9637611e9018952fb43,0.9283667621776505,0.84375,0.8544941555824265,50,56,3792,0,15,True
vitin1k-f100-s0,vit_imagenet,vit,imagenet,1.0,0,32-true,c42ae65bf9045cc93f0d73ae1437b2f6a1300670cb49d8e93f83a39d58a62a12,1a82d508fbeb9fdf6868a9637611e9018952fb43,0.9399428026692088,0.8935546875,0.8569072164948452,50,111,7678,0,27,True
cnnrand-f10-s0,cnn_random,cnn,floor,0.1,0,32-true,c42ae65bf9045cc93f0d73ae1437b2f6a1300670cb49d8e93f83a39d58a62a12,1a82d508fbeb9fdf6868a9637611e9018952fb43,0.7992047713717695,0.71630859375,0.657117278424351,50,12,790,0,4,True
cnnrand-f25-s0,cnn_random,cnn,floor,0.25,0,32-true,c42ae65bf9045cc93f0d73ae1437b2f6a1300670cb49d8e93f83a39d58a62a12,1a82d508fbeb9fdf6868a9637611e9018952fb43,0.8166828322017458,0.8193359375,0.7064544650751547,50,28,1685,0,8,True
cnnrand-f50-s0,cnn_random,cnn,floor,0.5,0,32-true,c42ae65bf9045cc93f0d73ae1437b2f6a1300670cb49d8e93f83a39d58a62a12,1a82d508fbeb9fdf6868a9637611e9018952fb43,0.8664047151277013,0.85693359375,0.7806624888093108,50,56,3792,0,15,True
cnnrand-f100-s0,cnn_random,cnn,floor,1.0,0,32-true,c42ae65bf9045cc93f0d73ae1437b2f6a1300670cb49d8e93f83a39d58a62a12,1a82d508fbeb9fdf6868a9637611e9018952fb43,0.8919449901768173,0.91015625,0.8124156545209178,50,111,7678,0,27,True
beS2-f10-s0,bigearthnet_s2,cnn,optical,0.1,0,32-true,c42ae65bf9045cc93f0d73ae1437b2f6a1300670cb49d8e93f83a39d58a62a12,1a82d508fbeb9fdf6868a9637611e9018952fb43,0.7991967871485943,0.7490234375,0.671195652173913,50,12,790,0,4,True
beS2-f25-s0,bigearthnet_s2,cnn,optical,0.25,0,32-true,c42ae65bf9045cc93f0d73ae1437b2f6a1300670cb49d8e93f83a39d58a62a12,1a82d508fbeb9fdf6868a9637611e9018952fb43,0.8062622309197652,0.82177734375,0.7023705004389815,50,28,1685,0,8,True
beS2-f50-s0,bigearthnet_s2,cnn,optical,0.5,0,32-true,c42ae65bf9045cc93f0d73ae1437b2f6a1300670cb49d8e93f83a39d58a62a12,1a82d508fbeb9fdf6868a9637611e9018952fb43,0.8585757271815446,0.87939453125,0.7616099071207431,50,56,3792,0,15,True
beS2-f100-s0,bigearthnet_s2,cnn,optical,1.0,0,32-true,c42ae65bf9045cc93f0d73ae1437b2f6a1300670cb49d8e93f83a39d58a62a12,1a82d508fbeb9fdf6868a9637611e9018952fb43,0.8635917566241413,0.8779296875,0.7947524333474397,50,111,7678,0,27,True
beS1-f10-s0,bigearthnet_s1,cnn,sar,0.1,0,32-true,c42ae65bf9045cc93f0d73ae1437b2f6a1300670cb49d8e93f83a39d58a62a12,1a82d508fbeb9fdf6868a9637611e9018952fb43,0.8762088974854932,0.77587890625,0.8,50,12,790,0,4,False
beS1-f25-s0,bigearthnet_s1,cnn,sar,0.25,0,32-true,c42ae65bf9045cc93f0d73ae1437b2f6a1300670cb49d8e93f83a39d58a62a12,1a82d508fbeb9fdf6868a9637611e9018952fb43,0.8867562380038387,0.876953125,0.8024582967515366,35,28,1685,0,8,False
beS1-f50-s0,bigearthnet_s1,cnn,sar,0.5,0,32-true,c42ae65bf9045cc93f0d73ae1437b2f6a1300670cb49d8e93f83a39d58a62a12,1a82d508fbeb9fdf6868a9637611e9018952fb43,0.8998073217726397,0.89306640625,0.8520710059171598,45,56,3792,0,15,False
beS1-f100-s0,bigearthnet_s1,cnn,sar,1.0,0,32-true,c42ae65bf9045cc93f0d73ae1437b2f6a1300670cb49d8e93f83a39d58a62a12,1a82d508fbeb9fdf6868a9637611e9018952fb43,0.9067713444553483,0.83203125,0.8220689655172414,25,111,7678,0,27,False
cnnin1k-f10-s0,cnn_imagenet,cnn,imagenet,0.1,0,32-true,c42ae65bf9045cc93f0d73ae1437b2f6a1300670cb49d8e93f83a39d58a62a12,1a82d508fbeb9fdf6868a9637611e9018952fb43,0.8856304985337244,0.86865234375,0.7810253953042645,25,12,790,0,4,True
cnnin1k-f25-s0,cnn_imagenet,cnn,imagenet,0.25,0,32-true,c42ae65bf9045cc93f0d73ae1437b2f6a1300670cb49d8e93f83a39d58a62a12,1a82d508fbeb9fdf6868a9637611e9018952fb43,0.9004739336492891,0.90625,0.8480958493795464,50,28,1685,0,8,True
cnnin1k-f50-s0,cnn_imagenet,cnn,imagenet,0.5,0,32-true,c42ae65bf9045cc93f0d73ae1437b2f6a1300670cb49d8e93f83a39d58a62a12,1a82d508fbeb9fdf6868a9637611e9018952fb43,0.9220532319391634,0.89892578125,0.8806584362139918,40,56,3792,0,15,True
cnnin1k-f100-s0,cnn_imagenet,cnn,imagenet,1.0,0,32-true,c42ae65bf9045cc93f0d73ae1437b2f6a1300670cb49d8e93f83a39d58a62a12,1a82d508fbeb9fdf6868a9637611e9018952fb43,0.9386973180076628,0.89404296875,0.896551724137931,50,111,7678,0,27,True
